symbol,effective_from,effective_to,index_name,source,notes
TV18BRDCST,2018-01-01,2019-03-28,NIFTY200,niftyindices_pr_scraped,
TVSMOTOR,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
UBL,2018-01-01,2024-03-27,NIFTY200,niftyindices_pr_scraped,
ULTRACEMCO,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
UNIONBANK,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
UNITDSPR,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
UPL,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
VAKRANGEE,2018-01-01,2019-03-28,NIFTY200,niftyindices_pr_scraped,
VARROC,2018-12-28,2020-06-25,NIFTY200,niftyindices_pr_scraped,
VBL,2019-12-27,,NIFTY200,niftyindices_pr_scraped,
VEDL,2018-01-01,2020-07-30,NIFTY200,niftyindices_pr_scraped,
VEDL,2021-03-31,,NIFTY200,niftyindices_pr_scraped,
VMM,2025-03-28,,NIFTY200,niftyindices_pr_scraped,
VOLTAS,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
WAAREEENER,2025-03-28,,NIFTY200,niftyindices_pr_scraped,
WELSPUNIND,2018-01-01,2018-04-01,NIFTY200,niftyindices_pr_scraped,
WHIRLPOOL,2019-12-27,2023-09-28,NIFTY200,niftyindices_pr_scraped,
WIPRO,2018-01-01,,NIFTY200,niftyindices_pr_scraped,
